genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
432hz,0.49676541103468685,0.26683770548943203,0.6307622335474965,0.44934741348316465,0.48161458333333323,0.12024756852343059,0.5538520784139208,0.05913891096157618,0.47885308529107895,0.22239874476236543
[],0.6819715880765995,0.514352373542399,0.12325148181285475,0.4000272334384821,0.1983239047775653,0.22036495897095712,0.665236968384936,0.09773770812406496,0.4309189414686657,0.5240762877593445
a cappella,0.6240265925121564,0.576240631497697,0.10082008238943989,0.34401292943341416,0.0038295584718539316,0.11592265440976493,0.6628055221670014,0.07929019766335775,0.4296891071034835,0.45974083532931576
abstract,0.36083624853704344,0.44529995600226296,0.19337415692137247,0.4857902525898612,0.7977822580645162,0.1075154730327143,0.6275408545790128,0.022776251759991786,0.5047193249975551,0.3077631080805068
abstract beats,0.3547636047101306,0.7070322097720692,0.12571258139553138,0.6126119346828203,0.35222037500000003,0.0886973180076628,0.8247610468916823,0.13169364896924893,0.4737044412838778,0.6453611842032173
abstract hip hop,0.20669617095133969,0.739045751331285,0.13517499593081683,0.6447797112533677,0.00287567723660625,0.16117567902958102,0.8109889022969541,0.24781649197750355,0.4317030105535934,0.5942955187628427
accordeon,0.8045508958436463,0.6311903959224955,0.08158700166601882,0.3071964281235106,0.6209677419354839,0.2547155909224874,0.7170594668017761,0.014406924270336845,0.4454075959498378,0.5525310284180399
accordion,0.4881592916624598,0.6473467078835946,0.0840004413937716,0.36237991321142793,0.11221498235887097,0.18211206896551724,0.6183486555368161,0.06562641004559981,0.4349634967249213,0.6553395029812749
acid house,0.0572281536563025,0.6956980307679418,0.16275800123460823,0.7209911845776096,0.3228017702732975,0.2322956577266923,0.7266202134784056,0.03920580538434279,0.49562476703187097,0.6330743038350781
acid jazz,0.15603537328918113,0.7290939323120528,0.15702817856185358,0.6941497144672704,0.19215033602150533,0.09350132625994695,0.7304525752865249,0.03214002666168743,0.43218530250013226,0.8045015241805019
acid rock,0.2590606771056656,0.43866042642575137,0.13755171496132387,0.591196164052652,0.16084666233305606,0.23613369277019286,0.7067073475250676,0.054212788118010294,0.5089132356903984,0.544642583098359
acid trance,0.003546417301454567,0.5539372260855157,0.11470496017541738,0.9252514611081847,0.7827620967741935,0.14345711759504862,0.8133368854311854,0.021611223952455353,0.5633294937547134,0.6508101188151473
acousmatic,0.919471371351504,0.39489105560285487,0.09290782747410814,0.24857186812819293,0.6018484578629032,0.25949606727085167,0.4428250821985105,0.06782487831037069,0.3933339170803678,0.3126294186065392
acoustic blues,0.7591970653082681,0.6028871672503785,0.10759749303107999,0.3569525541663198,0.0936608182323873,0.1812035880254655,0.6659072118871506,0.04794907627521101,0.44296111372214647,0.6410857892769805
acoustic pop,0.48719683156467736,0.5214249440696329,0.1261447772218895,0.48176722366959596,0.04749364262260635,0.14496085913698517,0.757667908898824,0.019185254996215376,0.4630131329026292,0.38940570251549755
acoustic punk,0.37594074463561344,0.5215879918012382,0.10000600494996015,0.6136511042072034,0.06861543551267278,0.17465122521157006,0.7853844694479817,0.04951682860384382,0.482769333050502,0.7547539915655787
adoracion,0.391229588252727,0.4870216198405035,0.16479773135581213,0.5179806188911464,0.0,0.3183576480990273,0.7920711014576425,0.016224633803902377,0.5513937487874846,0.3125876143847543
adult standards,0.6555248142506711,0.4889903914735377,0.10206431761531333,0.3842665588418797,0.12335505867230594,0.1901973929106364,0.6777281364145513,0.034526625106745173,0.4399846977728252,0.5128525163234376
adventista,0.7808196611824938,0.5260976640456007,0.10505425009729775,0.3234533810426914,7.497078073866294e-06,0.12970758210638272,0.7575198936437587,0.006969871504632245,0.4411626267902384,0.5278442126676286
afghan pop,0.4522070313645209,0.7097434989057707,0.16738598842255328,0.6715746523858495,0.0014847282426074598,0.08451683613321541,0.8017924438961491,0.06282272163026655,0.43766760834941115,0.8239095080319656
african gospel,0.7730916222294387,0.6074201898188094,0.31173719121541715,0.6011739032282338,0.0007671370967741935,0.06719717064544652,0.8240620440185739,0.020467972365620438,0.5311906048443326,0.9210348873678894
african percussion,0.35060027105310165,0.5950151135084483,0.1569923424273807,0.7621090124664508,0.25754225,0.11697612732095489,0.7890051823672594,0.0697257835926792,0.550386315689424,0.4706260890818767
african reggae,0.2514003682885846,0.7703141933652939,0.1465916841165577,0.6625446275532813,0.003559251232078831,0.09436093918852531,0.807012361980054,0.03825793488880289,0.4680013383373632,0.7847830353767691
african rock,0.0981394371459376,0.6828720237244943,0.1241761148755691,0.5732059096495847,0.0945544002016129,0.13969477600943112,0.7720619218857564,0.052021716162264246,0.47268885200745536,0.5336785350775165
afro dancehall,0.06680338766577465,0.6115799758869546,0.1086877840297661,0.759717728112641,0.009314153897849396,0.21413572060123784,0.844447849184304,0.1605689176195938,0.5592841582386486,0.5955687240041123
afro house,0.2005495761070377,0.6770594655132023,0.12692962609382832,0.5956555547194422,0.19732459677419356,0.09869584438549946,0.7720903800179949,0.15863809271738372,0.5476822040649342,0.6851650704148319
afro psych,0.24527863907021702,0.42134404516339174,0.1782467641106587,0.7594501718213058,0.4024445564516129,0.14235190097259062,0.7057784853191041,0.03366980616597607,0.5797964310130745,0.820277454691203
afro-cuban traditional,0.1526076511577267,0.6709312092520958,0.21307545912594536,0.7637143502144631,0.010383064516129033,0.0642130857648099,0.790232439320045,0.06467370038990404,0.5694717730562641,0.7836150809691516
afro-funk,0.15151996350617158,0.831231536663829,0.15979710344890266,0.7267581374737668,0.08304742607526884,0.08271441202475685,0.766163529321009,0.07970473672919544,0.4481223460678434,0.8923203009562128
afrobeat,0.3406594592459277,0.630326575870544,0.179504266011712,0.618512660583435,0.31047494379789203,0.15826779676782934,0.7394275718489022,0.041844103056498064,0.46951372316156353,0.7206949619008122
afrobeat brasileiro,0.9036141404160447,0.625247844396574,0.08081843534686281,0.7576943336594175,0.0021774193548387095,0.10919540229885057,0.7372202748594955,0.09091404633535319,0.28822675566537725,0.7077265311668633
afrofuturism,0.25091342158760355,0.6374535039076275,0.16606467262812163,0.5871598842852377,0.11720090623655696,0.18554137097719894,0.7500590506589263,0.12979810451814328,0.43844933112710377,0.47767864680026845
afrofuturismo brasileiro,0.6285128328535058,0.4725985520744649,0.1339511331447685,0.8098678104698122,0.00028528225806451614,0.09703801945181255,0.8813429283148999,0.016548252639329273,0.6190974438988345,0.42775931365301667
afropop,0.4433163759504246,0.6112113245716523,0.18136308634282505,0.5242619273804735,0.1327658888205372,0.1497409636321596,0.70093873273605,0.05885799378141582,0.4486369399020688,0.6410881145287136
afroswing,0.3691327952699818,0.7102541869275296,0.09639132707712227,0.5637160224412839,0.00018144237231179435,0.20843924992631885,0.8050262215009081,0.1719987114603553,0.243689669698434,0.7140078469444177
aggrotech,0.0,0.4815123793633473,0.15783658805299702,0.9473248551433515,0.7620967741935483,0.3280282935455349,0.8442317452426179,0.022645594435782186,0.4774043159014203,0.21239991556544233
alabama indie,0.21809426111157143,0.5155106308818406,0.12811990848447455,0.6688990894724961,0.0751645910876757,0.11654934367135951,0.7772966448112926,0.02306157608764633,0.4401848395843139,0.5409610485452032
